PIN,SalePrice,SqFtTotLiving,NbrLivingUnits,YrBuilt,CurrentZoning,beat,total_noise_dispatches,estimated_dispatch_waste_usd,shadow_tax_penalty_usd,FEMA_Climate_Risk,Heavy_Freight_Zone
7234601371,849950,1570,1,2014,LR1(M),C3,127,19050,-1962.1799265986967,69.22,1
1594600205,520000,600,1,1924,RSL(M),R2,298,44700,-4604.170221467809,69.22,1
5309100805,664312,1140,1,2025,NR3,J2,90,13500,-1390.5212078258485,69.22,0
7234601434,765000,1290,1,2023,LR1(M),C3,127,19050,-1962.1799265986967,69.22,1
7588700215,612000,1160,1,2024,LR2(M1),J2,90,13500,-1390.5212078258485,69.22,1
9266700073,539950,1250,1,2023,LR1(M1),N3,225,33750,-3476.303019564621,69.22,1
7568700400,650000,700,1,1941,MUR70,99,1,150,-15.450235642509426,69.22,1
9116000010,844240,2180,2,1955,LR1(M),W3,109,16350,-1684.0756850335274,69.22,0
6450304651,530000,1500,1,1952,RSL(M),N2,246,36900,-3800.757968057319,69.22,0
7950302138,565000,1170,1,2019,LR3(M),R3,178,26700,-2750.1419443666778,69.22,0
3448000240,560000,850,1,1931,NR2,L1,179,26850,-2765.592180009188,69.22,1
7987400570,700000,3960,1,2007,NR3,W1,248,37200,-3831.6584393423377,69.22,1
1306300040,720000,900,1,1942,NR3,N1,157,23550,-2425.68699587398,69.22,0
6056100246,632500,1400,1,2007,LR2(M),R2,298,44700,-4604.170221467809,69.22,0
